grid;institution_name;country_code;country;region;global_n_s;latitude;longitude;organization_type_id;organization_type;p_full;tncs;mncs;pp_top_prop1;pp_collab;pp_int_collab;pp_top_prop5;pp_top_prop10;pp_top_prop20;pp_top_prop50;native_count;newcomer_count;outgoer_count;total_researcher_count;native_percentage;newcomer_percentage;outgoer_percentage;p_rnk;tncs_rnk;mncs_rnk;pp_collab_rnk;pp_int_collab_rnk;pp_top_prop1_rnk;pp_top_prop5_rnk;pp_top_prop10_rnk;pp_top_prop20_rnk;pp_top_prop50_rnk;native_count_rnk;newcomer_count_rnk;outgoer_count_rnk;total_researcher_count_rnk;native_percentage_rnk;newcomer_percentage_rnk;outgoer_percentage_rnk
grid.240684.c;Rush Univ. Med. Ctr.;US;United States;North America;Global North;41.8747;-87.6693;6;Healthcare;13014;21293.800;1.636;0.024;0.684;0.233;0.099;0.175;0.313;0.626;1167;3260;1059;5486;21.272;59.424;19.304;628;520;530;2269;2297;538;490;544;557;803;1176;399;683;627;2354;567;1647
grid.143640.4;Univ.  Victoria;CA;Canada;North America;Global North;48.4633;-123.312;3;Education;16217;26533.100;1.636;0.024;0.753;0.562;0.097;0.173;0.313;0.647;1914;2012;953;4879;39.229;41.238;19.533;517;416;530;1506;327;538;537;579;557;539;705;710;762;704;1404;1419;1592
grid.469994.f;Sorbonne Paris Cité;FR;France;Europe;Global North;48.8361;2.37165;8;Other;2464;4031.780;1.636;0.024;0.913;0.488;0.096;0.179;0.330;0.661;123;3208;210;3541;3.474;90.596;5.931;2528;2093;530;208;640;538;563;483;375;377;2975;407;2600;994;3004;1;2997
grid.36425.36;Stony Brook Univ.;US;United States;North America;Global North;40.9142;-73.1162;3;Education;27063;44257.400;1.635;0.024;0.757;0.411;0.099;0.180;0.319;0.651;3573;4629;2139;10341;34.552;44.764;20.685;255;215;533;1459;1081;538;490;470;484;481;322;259;299;281;1714;1226;1332
grid.411984.1;Universitätsmedizin Göttingen;DE;Germany;Europe;Global North;51.5519;9.94297;6;Healthcare;9044;14782.700;1.635;0.023;0.838;0.514;0.100;0.188;0.334;0.677;839;3246;806;4891;17.154;66.367;16.479;885;705;533;667;508;638;474;371;337;231;1549;401;888;702;2547;303;2165
grid.27755.32;Univ.  Virginia;US;United States;North America;Global North;38.035;-78.505;3;Education;37016;60520.700;1.635;0.025;0.685;0.325;0.098;0.180;0.320;0.645;4427;7038;3168;14633;30.254;48.097;21.650;156;136;533;2258;1584;481;513;470;474;570;224;131;168;157;1945;1053;1124
grid.413252.3;Westmead Hosp.;AU;Australia;Asia & Pacific;Global North;-33.8045;150.989;6;Healthcare;5597;9151.760;1.635;0.024;0.875;0.363;0.092;0.173;0.305;0.630;424;1416;652;2492;17.014;56.822;26.164;1378;1092;533;427;1342;538;663;579;660;746;2376;988;1072;1407;2552;669;444
grid.8217.c;Trinity College Dublin;IE;Ireland;Europe;Global North;53.3444;-6.25919;3;Education;21748;35526.500;1.634;0.025;0.750;0.568;0.103;0.182;0.318;0.640;2600;3681;1802;8083;32.166;45.540;22.294;355;285;537;1548;303;481;417;444;493;629;484;345;378;385;1855;1187;1007
grid.7942.8;Université Catholique de Louvain;BE;Belgium;Europe;Global North;50.6696;4.61226;3;Education;22107;36112.900;1.634;0.024;0.774;0.622;0.095;0.172;0.310;0.648;3030;3384;2069;8483;35.719;39.892;24.390;345;276;537;1271;146;538;589;608;596;520;403;384;314;359;1647;1493;655
grid.7107.1;Univ.  Aberdeen;GB;United Kingdom;Europe;Global North;57.1651;-2.1023;3;Education;21701;35432.800;1.633;0.028;0.783;0.549;0.105;0.182;0.318;0.640;1891;2872;1503;6266;30.179;45.835;23.987;357;289;539;1160;381;326;385;444;493;629;717;465;473;548;1951;1174;739
grid.411667.3;Georgetown Univ. Med. Ctr.;US;United States;North America;Global North;38.912;-77.077;6;Healthcare;4426;7227.190;1.633;0.024;0.818;0.289;0.094;0.173;0.310;0.653;415;1700;493;2608;15.913;65.184;18.903;1711;1345;539;830;1851;538;615;579;596;457;2394;844;1424;1357;2609;340;1731
grid.413957.d;Children's Hosp. Colorado;US;United States;North America;Global North;39.741;-104.836;6;Healthcare;2996;4891.040;1.633;0.021;0.840;0.206;0.083;0.154;0.294;0.619;237;1127;332;1696;13.974;66.451;19.576;2279;1852;539;652;2507;768;877;896;785;915;2758;1248;1974;1998;2708;299;1584
grid.419318.6;Intel (United States);US;United States;North America;Global North;37.3876;-121.964;2;Company;3033;4952.720;1.633;0.029;0.830;0.333;0.106;0.178;0.296;0.608;1216;1887;189;3292;36.938;57.321;5.741;2266;1828;539;725;1541;297;367;498;765;1072;1128;759;2718;1073;1563;651;2999
grid.437349.e;Univ.  Minnesota System;US;United States;North America;Global North;44.9747;-93.2354;3;Education;4885;7970.440;1.632;0.028;0.682;0.262;0.109;0.194;0.334;0.631;319;2656;626;3601;8.859;73.757;17.384;1574;1248;543;2287;2065;326;317;301;337;730;2579;519;1122;983;2945;115;2013
grid.33058.3d;Kenya Med. Res. Inst.;KE;Kenya;Africa;Global South;-1.31315;36.8041;4;Facility;4578;7469.390;1.632;0.024;0.951;0.885;0.089;0.167;0.314;0.677;721;782;550;2053;35.119;38.091;26.790;1664;1312;543;64;2;538;735;688;550;231;1774;1760;1269;1694;1683;1612;379
grid.7450.6;Univ.  Göttingen;DE;Germany;Europe;Global North;51.541;9.93738;3;Education;26759;43634.500;1.631;0.023;0.781;0.550;0.093;0.173;0.317;0.660;3157;4775;3019;10951;28.828;43.603;27.568;259;222;545;1197;377;638;629;579;506;386;376;252;180;254;2017;1291;329
grid.412563.7;Univ. Hosp.s Birmingham NHS Foundation Trust;GB;United Kingdom;Europe;Global North;52.4513;-1.94139;6;Healthcare;2883;4703.330;1.631;0.034;0.810;0.298;0.103;0.175;0.289;0.570;206;1211;223;1640;12.561;73.842;13.598;2338;1909;545;899;1791;165;417;544;842;1612;2808;1150;2522;2048;2778;112;2564
grid.5600.3;Cardiff Univ.;GB;United Kingdom;Europe;Global North;51.4877;-3.179;3;Education;34850;56738.700;1.628;0.024;0.742;0.503;0.097;0.177;0.310;0.633;3518;4947;2233;10698;32.885;46.242;20.873;175;151;547;1637;559;538;537;519;596;707;331;236;279;262;1815;1144;1286
grid.411296.9;Hôpital Lariboisière;FR;France;Europe;Global North;48.8831;2.35306;6;Healthcare;3169;5157.350;1.627;0.028;0.840;0.377;0.104;0.174;0.319;0.639;204;1235;456;1895;10.765;65.172;24.063;2204;1768;548;652;1266;326;402;557;484;642;2813;1131;1544;1815;2857;342;715
grid.413249.9;Royal Prince Alfred Hosp.;AU;Australia;Asia & Pacific;Global North;-33.8892;151.183;6;Healthcare;6510;10590.800;1.627;0.022;0.915;0.352;0.099;0.181;0.323;0.653;408;1585;623;2616;15.596;60.589;23.815;1206;975;548;201;1414;702;490;456;435;457;2412;901;1128;1352;2623;514;775
grid.6906.9;Erasmus Univ. Rotterdam;NL;Netherlands;Europe;Global North;51.9157;4.52585;3;Education;10792;17563.600;1.627;0.020;0.744;0.500;0.092;0.179;0.332;0.683;1031;1929;830;3790;27.203;50.897;21.900;765;614;548;1612;573;851;663;483;356;190;1302;743;856;934;2103;927;1077
grid.55460.32;Univ.  Texas System;US;United States;North America;Global North;30.2851;-97.7341;3;Education;1992;3240.630;1.627;0.029;0.798;0.361;0.102;0.176;0.305;0.615;250;2042;356;2648;9.441;77.115;13.444;2737;2345;548;1000;1360;297;434;533;660;977;2726;700;1870;1335;2926;63;2583
grid.185448.4;Agency  Science, Technology  & Res.;SG;Singapore;Asia & Pacific;Global North;1.29995;103.788;5;Government;1701;2768.140;1.627;0.025;0.888;0.591;0.099;0.179;0.318;0.640;243;1759;163;2165;11.224;81.247;7.529;2850;2487;548;350;232;481;490;483;493;629;2738;811;2826;1615;2844;22;2980
grid.10548.38;Stockholm Univ.;SE;Sweden;Europe;Global North;59.3653;18.0583;3;Education;30198;49103.700;1.626;0.024;0.791;0.647;0.095;0.173;0.315;0.656;2682;4192;1832;8706;30.806;48.151;21.043;216;186;553;1079;113;538;589;579;534;427;465;294;370;350;1920;1051;1236
grid.266097.c;Univ.  Calinia, Riverside;US;United States;North America;Global North;33.9756;-117.331;3;Education;22311;36276.700;1.626;0.027;0.732;0.447;0.104;0.181;0.323;0.654;2578;3321;1481;7380;34.932;45.000;20.068;338;274;553;1726;879;370;402;456;435;445;495;392;478;444;1696;1215;1493
grid.459409.5;Cancer Hosp.  Chinese Academy  Med. Sciences;CN;China;Asia & Pacific;Global South;39.8728;116.447;6;Healthcare;876;1423.400;1.625;0.028;0.951;0.321;0.082;0.154;0.292;0.662;268;562;174;1004;26.693;55.976;17.331;2994;2910;555;64;1621;326;904;896;813;364;2677;2239;2781;2995;2129;697;2030
grid.10894.34;Alfred Wegener Inst.  Polar  & Marine Res.;DE;Germany;Europe;Global North;53.5333;8.58086;4;Facility;6815;11072.500;1.625;0.024;0.881;0.706;0.091;0.173;0.325;0.683;507;630;417;1554;32.626;40.541;26.834;1149;923;555;393;63;538;695;579;422;190;2204;2085;1663;2137;1834;1458;375
grid.412354.5;Uppsala Univ. Hosp.;SE;Sweden;Europe;Global North;59.8472;17.6403;6;Healthcare;4823;7838.400;1.625;0.021;0.849;0.446;0.090;0.170;0.313;0.661;272;1796;717;2785;9.767;64.488;25.745;1589;1264;555;585;887;768;716;636;557;377;2671;794;991;1263;2910;364;490
grid.148313.c;Los Alamos Natl. Laboratory;US;United States;North America;Global North;35.8756;-106.324;4;Facility;21922;35613.600;1.625;0.024;0.794;0.434;0.105;0.187;0.329;0.652;1884;3333;786;6003;31.384;55.522;13.094;348;283;555;1048;963;538;385;383;383;468;721;388;907;572;1886;726;2622
grid.266684.8;Univ.  Massachusetts System;US;United States;North America;Global North;42.3126;-71.0358;3;Education;2410;3913.190;1.624;0.024;0.795;0.436;0.099;0.184;0.329;0.654;179;1340;251;1770;10.113;75.706;14.181;2552;2119;559;1030;947;538;490;414;383;445;2865;1045;2360;1932;2892;84;2496
grid.27860.3b;Univ.  Calinia, Davis;US;United States;North America;Global North;38.54;-121.75;3;Education;70003;113707.000;1.624;0.024;0.713;0.389;0.099;0.178;0.317;0.649;7848;11874;5382;25104;31.262;47.299;21.439;39;40;559;1941;1203;538;490;498;506;509;81;48;51;52;1895;1089;1159
grid.413780.9;Hôpital Avicenne;FR;France;Europe;Global North;48.9154;2.42417;6;Healthcare;2126;3449.890;1.623;0.024;0.869;0.276;0.098;0.170;0.322;0.659;119;697;240;1056;11.269;66.004;22.727;2682;2275;561;464;1956;538;513;636;450;395;2983;1939;2427;2881;2840;312;939
grid.11696.39;Univ.  Trento;IT;Italy;Europe;Global North;46.0694;11.1211;3;Education;13751;22313.500;1.623;0.022;0.783;0.590;0.090;0.168;0.307;0.643;1334;1712;958;4004;33.317;42.757;23.926;599;487;561;1160;235;702;716;677;636;588;1030;841;759;876;1790;1338;752
grid.420019.e;Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas;ES;Spain;Europe;Global North;40.4545;-3.72843;4;Facility;5829;9453.110;1.622;0.026;0.848;0.668;0.092;0.166;0.303;0.655;679;376;307;1362;49.853;27.607;22.540;1338;1068;563;593;87;417;663;702;679;436;1838;2667;2078;2390;798;2244;962
grid.411843.b;Skåne Univ. Hosp.;SE;Sweden;Europe;Global North;55.7117;13.1983;6;Healthcare;14093;22820.200;1.619;0.026;0.910;0.511;0.098;0.177;0.315;0.647;953;3004;1447;5404;17.635;55.589;26.777;583;478;564;221;527;417;513;519;534;539;1402;443;492;637;2521;722;381
grid.411339.d;Univ. Hosp. Leipzig;DE;Germany;Europe;Global North;51.3308;12.3858;6;Healthcare;4160;6734.620;1.619;0.022;0.848;0.431;0.093;0.164;0.294;0.623;450;2072;344;2866;15.701;72.296;12.003;1818;1428;564;593;976;702;629;733;785;849;2323;684;1919;1220;2615;157;2742
grid.239546.f;Children's Hosp.  Los Angeles;US;United States;North America;Global North;34.0975;-118.29;6;Healthcare;5725;9265.670;1.618;0.025;0.862;0.257;0.101;0.176;0.317;0.640;575;1478;597;2650;21.698;55.774;22.528;1358;1082;566;501;2112;481;457;533;506;629;2066;951;1167;1334;2337;713;964
grid.412008.f;Haukel & Univ. Hosp.;NO;Norway;Europe;Global North;60.374;5.3587;6;Healthcare;8252;13350.300;1.618;0.021;0.957;0.490;0.094;0.178;0.325;0.680;540;1657;582;2779;19.432;59.626;20.943;962;770;566;51;634;768;615;498;422;209;2139;871;1198;1267;2429;559;1270
grid.17635.36;Univ.  Minnesota;US;United States;North America;Global North;44.9742;-93.2278;3;Education;81245;131372.000;1.617;0.024;0.670;0.320;0.096;0.174;0.310;0.634;8917;13293;7012;29222;30.515;45.490;23.996;24;26;568;2408;1630;538;563;557;596;694;60;36;27;36;1931;1190;737
grid.264889.9;William & Mary;US;United States;North America;Global North;37.2721;-76.7171;3;Education;5963;9629.970;1.615;0.024;0.733;0.371;0.085;0.151;0.277;0.598;809;668;467;1944;41.615;34.362;24.023;1312;1054;569;1713;1299;538;835;949;1004;1218;1597;1996;1502;1766;1263;1831;728
grid.22937.3d;Med. Univ.  Vienna;AT;Austria;Europe;Global North;48.22;16.3514;3;Education;28837;46581.900;1.615;0.024;0.712;0.552;0.097;0.170;0.308;0.641;3125;6643;2345;12113;25.799;54.842;19.359;230;202;569;1951;364;538;537;636;627;611;379;150;262;215;2162;754;1630
grid.6936.a;Technical Univ.  Munich;DE;Germany;Europe;Global North;48.1481;11.5681;3;Education;52205;84216.600;1.613;0.024;0.781;0.516;0.098;0.177;0.315;0.647;9130;8719;4519;22368;40.817;38.980;20.203;80;71;571;1197;500;538;513;519;534;539;54;83;95;73;1314;1550;1453
grid.264484.8;Syracuse Univ.;US;United States;North America;Global North;43.0377;-76.134;3;Education;10419;16804.300;1.613;0.019;0.701;0.355;0.078;0.145;0.275;0.622;1345;1160;711;3216;41.822;36.070;22.108;784;639;571;2089;1396;944;1023;1060;1024;867;1023;1196;1001;1098;1245;1734;1037
grid.425956.9;Novo Nordisk (Denmark);DK;Denmark;Europe;Global North;55.7546;12.4533;2;Company;2928;4722.970;1.613;0.025;0.861;0.663;0.104;0.178;0.317;0.664;456;936;200;1592;28.643;58.794;12.563;2312;1901;571;510;93;481;402;498;506;349;2309;1510;2658;2102;2027;588;2689
grid.411798.2;General Univ. Hosp. in Prague;CZ;Czechia;Europe;Global North;50.0738;14.4208;6;Healthcare;2174;3503.970;1.612;0.027;0.879;0.437;0.080;0.138;0.246;0.572;211;1135;186;1532;13.773;74.086;12.141;2657;2264;574;406;941;370;965;1197;1461;1590;2799;1230;2725;2163;2716;110;2727
grid.9918.9;Univ.  Leicester;GB;United Kingdom;Europe;Global North;52.6213;-1.12466;3;Education;20972;33815.200;1.612;0.025;0.800;0.531;0.095;0.169;0.307;0.636;1773;3484;1494;6751;26.263;51.607;22.130;369;311;574;987;433;481;589;653;636;674;776;373;476;493;2140;894;1032
grid.8390.2;Univ.  Évry Val d'Essonne;FR;France;Europe;Global North;48.6247;2.42711;3;Education;1628;2624.420;1.612;0.035;0.830;0.501;0.089;0.160;0.278;0.594;135;646;243;1024;13.184;63.086;23.731;2877;2542;574;725;567;146;735;802;990;1285;2959;2054;2412;2950;2746;422;790
grid.46699.34;King's College Hosp.;GB;United Kingdom;Europe;Global North;51.468;-0.0938;6;Healthcare;6846;11033.200;1.612;0.029;0.690;0.367;0.102;0.176;0.301;0.588;558;2060;844;3462;16.118;59.503;24.379;1141;929;574;2212;1319;297;434;533;708;1362;2094;692;839;1014;2603;563;660
grid.411162.1;Ctr. Hosp.ier Universitaire de Poitiers;FR;France;Europe;Global North;46.559;0.385;6;Healthcare;2921;4708.890;1.612;0.025;0.870;0.314;0.096;0.172;0.312;0.624;325;670;424;1419;22.904;47.216;29.880;2317;1908;574;456;1668;481;563;608;571;834;2569;1993;1629;2300;2281;1094;213
grid.412745.1;London Health Sciences Ctr.;CA;Canada;North America;Global North;42.9606;-81.2265;6;Healthcare;4250;6845.950;1.611;0.025;0.891;0.345;0.088;0.157;0.284;0.611;374;2004;467;2845;13.146;70.439;16.415;1769;1407;579;330;1470;481;764;846;904;1030;2483;716;1502;1231;2749;197;2176
grid.411668.c;Universitätsklinikum Erlangen;DE;Germany;Europe;Global North;49.5994;11.0106;6;Healthcare;6201;9991.520;1.611;0.024;0.833;0.419;0.096;0.173;0.317;0.651;633;2223;545;3401;18.612;65.363;16.025;1246;1028;579;706;1046;538;563;579;506;481;1934;620;1284;1028;2472;335;2241
grid.261112.7;Northeastern Univ.;US;United States;North America;Global North;42.3398;-71.0892;3;Education;16356;26333.900;1.610;0.024;0.765;0.441;0.098;0.178;0.322;0.653;2207;2673;970;5850;37.727;45.692;16.581;511;419;581;1355;918;538;513;498;450;457;595;513;748;592;1513;1180;2152
grid.240344.5;Nationwide Children's Hosp.;US;United States;North America;Global North;39.9525;-82.9796;6;Healthcare;8874;14281.100;1.609;0.023;0.854;0.220;0.082;0.156;0.294;0.630;868;1799;710;3377;25.703;53.272;21.025;896;732;582;547;2392;638;904;862;785;746;1504;792;1002;1043;2169;823;1243
grid.414142.6;Intl. Ctr.  Diarrhoeal Disease Res.;BD;Bangladesh;Asia & Pacific;Global South;23.7764;90.3998;4;Facility;3211;5167.300;1.609;0.022;0.897;0.837;0.074;0.147;0.291;0.646;499;744;540;1783;27.987;41.727;30.286;2188;1767;582;301;10;702;1149;1026;826;556;2220;1849;1297;1916;2065;1389;201
grid.5596.f;KU Leuven;BE;Belgium;Europe;Global North;50.8782;4.70026;3;Education;67303;108284.000;1.609;0.024;0.777;0.618;0.096;0.175;0.318;0.655;7466;9727;5603;22796;32.751;42.670;24.579;46;49;582;1236;148;538;563;544;493;436;95;66;48;69;1826;1340;627
grid.416060.5;Monash Med. Ctr.;AU;Australia;Asia & Pacific;Global North;-37.9198;145.122;6;Healthcare;2721;4379.220;1.609;0.023;0.826;0.329;0.098;0.182;0.320;0.654;156;1049;366;1571;9.930;66.773;23.297;2422;1995;582;762;1563;638;513;444;474;445;2915;1352;1829;2122;2901;283;850
grid.5491.9;Univ.  Southampton;GB;United Kingdom;Europe;Global North;50.9346;-1.39595;3;Education;40207;64693.500;1.609;0.026;0.768;0.546;0.096;0.174;0.314;0.643;3935;5590;2633;12158;32.366;45.978;21.657;134;118;582;1334;390;417;563;557;550;588;270;199;221;214;1841;1161;1119
grid.411154.4;Ctr. Hosp.ier Universitaire de Rennes;FR;France;Europe;Global North;48.1205;-1.69227;6;Healthcare;3732;6006.540;1.609;0.026;0.930;0.325;0.096;0.178;0.316;0.644;296;1151;429;1876;15.778;61.354;22.868;1973;1572;582;134;1584;417;563;498;518;581;2618;1207;1615;1836;2612;486;912
grid.1001.0;Australian Natl. Univ.;AU;Australia;Asia & Pacific;Global North;-35.2778;149.12;3;Education;36434;58587.200;1.608;0.024;0.759;0.551;0.095;0.173;0.312;0.642;3215;4881;2155;10251;31.363;47.615;21.022;164;146;588;1432;371;538;589;579;571;597;370;241;295;285;1887;1069;1244
grid.266683.f;Univ.  Massachusetts Amherst;US;United States;North America;Global North;42.389;-72.5267;3;Education;23628;37974.200;1.607;0.024;0.718;0.421;0.100;0.180;0.323;0.658;2709;3480;1831;8020;33.778;43.392;22.830;310;257;589;1887;1030;538;474;470;435;402;461;375;371;393;1759;1302;925
grid.451303.0;Pacific Northwest Natl. Laboratory;US;United States;North America;Global North;46.3432;-119.276;4;Facility;14209;22829.800;1.607;0.026;0.772;0.354;0.107;0.186;0.320;0.647;1526;2205;568;4299;35.497;51.291;13.212;581;477;589;1293;1405;417;351;393;474;539;925;621;1219;812;1662;912;2606
grid.14003.36;Univ.  Wisconsin–Madison;US;United States;North America;Global North;43.0767;-89.4124;3;Education;73476;117977.000;1.606;0.024;0.659;0.312;0.099;0.179;0.322;0.656;9630;11500;7145;28275;34.058;40.672;25.270;32;36;591;2487;1685;538;490;483;450;427;47;50;25;38;1742;1449;541
grid.1005.4;UNSW Sydney;AU;Australia;Asia & Pacific;Global North;-33.9177;151.231;3;Education;70817;113740.000;1.606;0.023;0.783;0.496;0.094;0.171;0.309;0.645;6252;10076;4194;20522;30.465;49.099;20.437;37;39;591;1160;593;638;615;622;607;570;133;62;108;88;1933;1010;1399
grid.415490.d;Queen Elizabeth Hosp. Birmingham;GB;United Kingdom;Europe;Global North;52.4511;-1.94138;6;Healthcare;4813;7728.610;1.606;0.026;0.741;0.256;0.096;0.163;0.281;0.585;432;1695;530;2657;16.259;63.794;19.947;1593;1277;591;1647;2120;417;563;755;949;1394;2366;845;1316;1329;2593;390;1519
grid.412722.0;Univ.  Utah Health Care;US;United States;North America;Global North;40.8528;-111.882;6;Healthcare;1351;2168.850;1.605;0.024;0.911;0.270;0.105;0.185;0.315;0.647;167;797;110;1074;15.549;74.209;10.242;2947;2692;594;214;2003;538;385;404;534;539;2893;1729;2982;2849;2627;109;2877
grid.420004.2;Newcastle upon Tyne Hosp.s NHS Foundation Trust;GB;United Kingdom;Europe;Global North;54.9769;-1.6462;6;Healthcare;1776;2848.140;1.604;0.026;0.860;0.316;0.107;0.184;0.303;0.595;155;910;100;1165;13.305;78.112;8.584;2818;2466;595;516;1645;417;351;414;679;1270;2922;1544;3002;2691;2741;43;2950
grid.424537.3;Great Ormond Street Hosp.  Children NHS Foundation Trust;GB;United Kingdom;Europe;Global North;51.5227;-0.120783;6;Healthcare;2226;3570.110;1.604;0.024;0.819;0.398;0.097;0.170;0.304;0.632;122;1027;171;1320;9.242;77.803;12.955;2632;2239;595;814;1154;538;537;636;669;714;2977;1383;2799;2457;2935;50;2641
grid.410332.7;Durham VA Med. Ctr.;US;United States;North America;Global North;36.0094;-78.9376;6;Healthcare;3273;5251.090;1.604;0.024;0.894;0.180;0.086;0.165;0.311;0.662;126;1323;248;1697;7.425;77.961;14.614;2156;1744;595;314;2697;538;812;715;586;364;2973;1056;2374;1995;2973;49;2438
grid.5132.5;Leiden Univ.;NL;Netherlands;Europe;Global North;52.1567;4.48504;3;Education;23231;37269.100;1.604;0.023;0.798;0.604;0.096;0.181;0.321;0.667;2042;4041;2001;8084;25.260;49.988;24.753;317;264;595;1000;182;638;563;456;462;323;655;311;331;384;2183;963;598
grid.2865.9;United States Geological Survey;US;United States;North America;Global North;38.9476;-77.3679;5;Government;15479;24801.700;1.602;0.028;0.790;0.309;0.110;0.188;0.323;0.654;1375;1968;678;4021;34.196;48.943;16.862;540;443;599;1085;1706;326;303;371;435;445;1001;728;1038;873;1733;1017;2111
grid.414148.c;Children's Hosp.  Eastern Ontario;CA;Canada;North America;Global North;45.4011;-75.6514;6;Healthcare;4369;6993.370;1.601;0.020;0.912;0.403;0.092;0.164;0.299;0.640;284;902;312;1498;18.959;60.214;20.828;1732;1387;600;211;1128;851;663;733;728;629;2642;1553;2054;2205;2459;531;1298
grid.1010.0;Univ.  Adelaide;AU;Australia;Asia & Pacific;Global North;-34.9207;138.606;3;Education;39049;62483.400;1.600;0.024;0.785;0.492;0.096;0.173;0.312;0.644;3275;5498;2442;11215;29.202;49.024;21.774;144;128;601;1137;621;538;563;579;571;581;354;207;244;245;1996;1013;1100
grid.5970.b;Intl. School  Advanced Studies;IT;Italy;Europe;Global North;45.6803;13.7737;3;Education;4736;7575.330;1.600;0.020;0.855;0.644;0.090;0.174;0.329;0.684;240;763;484;1487;16.140;51.311;32.549;1616;1300;601;541;118;851;716;557;383;183;2748;1817;1445;2225;2602;909;124
grid.482251.8;Inst.  BioMed. Sciences, Academia Sinica;TW;Taiwan;Asia & Pacific;Global North;25.0447;121.615;4;Facility;2216;3542.880;1.599;0.016;0.936;0.308;0.068;0.133;0.262;0.638;247;511;261;1019;24.240;50.147;25.613;2637;2251;603;112;1711;1237;1356;1318;1228;655;2731;2352;2304;2961;2222;956;508
grid.416135.4;Erasmus MC - Sophia Children’s Hosp.;NL;Netherlands;Europe;Global North;51.9103;4.46878;6;Healthcare;4101;6556.650;1.599;0.019;0.867;0.469;0.092;0.181;0.352;0.699;257;1337;449;2043;12.580;65.443;21.978;1842;1465;603;474;743;944;663;456;206;114;2710;1049;1561;1701;2777;332;1063
grid.1003.2;Univ.  Queensl &;AU;Australia;Asia & Pacific;Global North;-27.496;153.01;3;Education;79818;127602.000;1.599;0.024;0.764;0.505;0.096;0.173;0.312;0.649;6936;10561;4977;22474;30.862;46.992;22.146;28;28;603;1368;551;538;563;579;571;509;111;56;71;72;1918;1107;1029
grid.208226.c;Boston College;US;United States;North America;Global North;42.3351;-71.1704;3;Education;7321;11708.400;1.599;0.024;0.685;0.289;0.102;0.183;0.330;0.648;852;1025;556;2433;35.019;42.129;22.852;1069;881;603;2258;1851;538;434;430;375;520;1527;1386;1254;1453;1691;1361;918
grid.417587.8;United States Food  & Drug Administration;US;United States;North America;Global North;39.0353;-76.9831;5;Government;5014;8018.400;1.599;0.027;0.705;0.256;0.102;0.170;0.301;0.617;716;2434;510;3660;19.563;66.503;13.934;1530;1243;603;2045;2120;370;434;636;708;949;1782;558;1369;965;2424;294;2533
grid.144189.1;Azienda Ospedaliera Universitaria Pisana;IT;Italy;Europe;Global North;43.7217;10.3957;6;Healthcare;3274;5231.980;1.598;0.024;0.794;0.306;0.097;0.168;0.312;0.652;273;1409;288;1970;13.858;71.523;14.619;2155;1750;608;1048;1728;538;537;677;571;468;2667;995;2184;1749;2712;170;2436
grid.8761.8;Univ.  Gothenburg;SE;Sweden;Europe;Global North;57.6983;11.9718;3;Education;36253;57896.900;1.597;0.024;0.789;0.542;0.092;0.169;0.308;0.656;3341;5497;2967;11805;28.302;46.565;25.133;166;148;609;1094;401;538;663;653;627;427;342;208;183;223;2040;1130;560
grid.413973.b;Children's Hosp. at Westmead;AU;Australia;Asia & Pacific;Global North;-33.8017;150.992;6;Healthcare;5302;8461.000;1.596;0.021;0.862;0.369;0.095;0.174;0.307;0.615;366;1131;494;1991;18.383;56.806;24.812;1454;1179;610;501;1309;768;589;557;636;977;2493;1239;1417;1733;2483;670;591
grid.413852.9;Hospices Civils de Lyon;FR;France;Europe;Global North;45.7817;4.83058;6;Healthcare;6926;11054.000;1.596;0.023;0.924;0.365;0.097;0.177;0.313;0.645;458;3226;723;4407;10.393;73.202;16.406;1122;926;610;162;1331;638;537;519;557;570;2304;404;985;797;2876;126;2177
grid.263864.d;Southern Methodist Univ.;US;United States;North America;Global North;32.841;-96.784;3;Education;5499;8774.530;1.596;0.023;0.767;0.448;0.093;0.167;0.307;0.653;637;681;258;1576;40.419;43.211;16.371;1398;1139;610;1343;869;638;629;688;636;457;1924;1966;2313;2115;1342;1314;2185
grid.239553.b;Children's Hosp.  Pittsburgh;US;United States;North America;Global North;40.467;-79.9529;6;Healthcare;3329;5302.580;1.593;0.024;0.808;0.251;0.098;0.175;0.323;0.640;224;1315;397;1936;11.570;67.924;20.506;2137;1729;613;920;2158;538;513;544;435;629;2780;1064;1719;1782;2829;255;1380
grid.414596.b;Ministry  Health;BR;Brazil;South/Latin America;Global South;-12.9815;-38.5184;5;Government;1297;2065.650;1.593;0.023;0.891;0.422;0.080;0.145;0.269;0.579;291;899;308;1498;19.426;60.013;20.561;2956;2731;613;330;1017;638;965;1060;1117;1501;2630;1559;2071;2205;2430;541;1360
grid.416786.a;Swiss Tropical  & Public Health Inst.;CH;Switzerland;Europe;Global North;47.5562;7.5773;4;Facility;4774;7601.700;1.592;0.026;0.972;0.825;0.098;0.177;0.326;0.677;259;709;260;1228;21.091;57.736;21.173;1605;1295;615;24;13;417;513;519;413;231;2703;1921;2309;2594;2365;630;1201
